feature_1,feature_2,correlation,abs_correlation
t_hml_120,t_hml_90,0.9882911392405064,0.9882911392405064
t_hml_250,t_hml_180,0.9858190237314297,0.9858190237314297
t_hml_180,t_hml_120,0.9812713602187286,0.9812713602187286
t_const_250,const_250,0.9750144703839475,0.9750144703839475
t_hml_250,t_hml_120,0.9744356550260467,0.9744356550260467
t_hml_180,t_hml_90,0.9740533151059467,0.9740533151059467
const_90,t_const_90,0.9725035161744022,0.9725035161744022
t_const_180,const_180,0.9722761449077238,0.9722761449077238
t_hml_250,t_hml_90,0.9695478808926619,0.9695478808926619
t_const_120,const_120,0.9655550146056475,0.9655550146056475
ir_p3y,sr_p3y,0.9287885366912723,0.9287885366912723
t_const_180,const_250,0.9244324393851695,0.9244324393851695
const_180,const_250,0.9163290243745579,0.9163290243745579
t_mkt_750,r2_750,0.9158706035605731,0.9158706035605731
t_const_180,t_const_250,0.9146568911183999,0.9146568911183999
t_const_90,t_const_120,0.8917478091528724,0.8917478091528724
const_90,const_120,0.8884615384615384,0.8884615384615384
t_const_250,const_180,0.8755546980513216,0.8755546980513216
const_90,t_const_120,0.869255111976631,0.869255111976631
t_const_90,const_120,0.866796494644596,0.866796494644596
t_hml_250,t_hml_750,0.864090316977855,0.864090316977855
ir_p6m,sr_p6m,0.8600892778107968,0.8600892778107968
sr_p1y,ir_p1y,0.854395781079169,0.854395781079169
sr_p1y,t_const_250,0.8460672712071516,0.8460672712071516
const_180,const_120,0.8445933014354067,0.8445933014354067
t_hml_750,t_hml_180,0.8307642205818497,0.8307642205818497
t_const_180,t_const_120,0.8303212576896788,0.8303212576896788
const_180,t_const_120,0.829336978810663,0.829336978810663
sr_p1y,const_250,0.827416554119236,0.827416554119236
t_hml_750,t_hml_90,0.8161094224924013,0.8161094224924013
t_const_180,const_120,0.8124948735475052,0.8124948735475052
t_hml_750,t_hml_120,0.8054711246200608,0.8054711246200608
t_const_120,const_250,0.7889896456363753,0.7889896456363753
sr_p6m,const_90,0.7870231034787997,0.7870231034787997
sr_p1y,t_const_180,0.7807254485819024,0.7807254485819024
sr_p1y,const_180,0.7736831950607757,0.7736831950607757
sr_p6m,const_120,0.7736187862770141,0.7736187862770141
sr_p6m,t_const_90,0.7702550613943019,0.7702550613943019
const_250,const_120,0.7662550646343816,0.7662550646343816
t_const_250,t_const_120,0.7564473599588398,0.7564473599588398
sr_p1y,sr_p6m,0.7556434497395331,0.7556434497395331
sr_p6m,t_const_120,0.7539169691068425,0.7539169691068425
ir_p1y,ir_p6m,0.7373464531481124,0.7373464531481124
const_90,const_180,0.7314285714285714,0.7314285714285714
sr_p1y,t_const_120,0.7302720432182134,0.7302720432182134
const_180,t_const_90,0.7275734791524265,0.7275734791524265
t_const_180,t_const_90,0.7226794258373206,0.7226794258373206
t_const_250,const_120,0.7164769438549102,0.7164769438549102
sr_p1y,net_flow_percent,0.713325615795228,0.713325615795228
t_const_180,const_90,0.7044702665755297,0.7044702665755297
sr_p1y,const_120,0.6963470319634704,0.6963470319634704
ir_p1y,net_flow_percent,0.6779857225545051,0.6779857225545051
ir_p1y,sr_p6m,0.6710077818509229,0.6710077818509229
sr_p1y,t_const_90,0.6691427101421313,0.6691427101421313
ir_p6m,const_90,0.6507543089821571,0.6507543089821571
sr_p6m,const_180,0.6488038277511962,0.6488038277511962
sr_p1y,ir_p6m,0.647533603447167,0.647533603447167
t_const_90,const_250,0.6461508778699595,0.6461508778699595
sr_p1y,const_90,0.6460544086436427,0.6460544086436427
t_const_180,sr_p6m,0.6406015037593985,0.6406015037593985
ir_p6m,t_const_90,0.63838692952617,0.63838692952617
t_const_250,t_const_90,0.6322914656891119,0.6322914656891119
t_const_120,net_flow_percent,0.6310370009737098,0.6310370009737098
const_90,const_250,0.6271142838767766,0.6271142838767766
sr_p6m,net_flow_percent,0.620404911544152,0.620404911544152
t_hml_750,ir_p1y,0.6185410334346505,0.6185410334346505
t_const_250,sr_p3y,0.6175640468953539,0.6175640468953539
t_hml_750,ir_p3y,0.6105080330004342,0.6105080330004342
ir_p3y,net_flow_percent,0.6098567086409031,0.6098567086409031
sr_p1y,sr_p3y,0.6092053842813722,0.6092053842813722
sr_p3y,net_flow_percent,0.6074685193226227,0.6074685193226227
t_const_250,const_90,0.6009711235449225,0.6009711235449225
const_120,net_flow_percent,0.6007789678675755,0.6007789678675755
ir_p1y,t_const_250,0.5953115956010033,0.5953115956010033
const_180,net_flow_percent,0.5940943267259057,0.5940943267259057
sr_p6m,const_250,0.5937680879799344,0.5937680879799344
t_const_180,net_flow_percent,0.5920710868079289,0.5920710868079289
sr_p6m,t_const_250,0.5919030162711428,0.5919030162711428
const_250,net_flow_percent,0.5831564730850859,0.5831564730850859
t_const_90,net_flow_percent,0.5830285982184716,0.5830285982184716
const_250,sr_p3y,0.5768562744246635,0.5768562744246635
t_const_250,net_flow_percent,0.5740562094025339,0.5740562094025339
ir_p6m,monthly_return_percent,0.5702525322778488,0.5702525322778488
