scheme_name,month_date,target_month,outperforms_benchmark,t_hml_250,t_hml_750,t_hml_180,sr_p1y,ir_p1y,ir_p6m,monthly_return_percent,t_const_180,sr_p6m,t_const_250,ir_p3y,const_90,const_180,t_const_90,t_const_120,const_250,t_hml_120,const_120,t_mkt_750,t_umd_750,t_hml_90,sr_p3y,r2_750,net_flow_percent,t_smb_250
Axis Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
DSP ELSS Tax Saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
DSP Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
DSP Large & Mid Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss ELSS Tax saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India ELSS Tax Saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Focused Equity Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Large & Mid Cap Fund,2019-01-01,2019-02-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Opportunities Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC ELSS Tax saver,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Focused Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Infrastructure Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Value Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential ELSS Tax Saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kotak ELSS Tax Saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
LIC MF ELSS Tax Saver,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
LIC MF Flexi Cap Fund,2019-01-01,2019-02-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Motilal Oswal ELSS Tax Saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Motilal Oswal Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Parag Parikh Flexi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Quant Multi Cap Fund,2019-01-01,2019-02-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sundaram Consumption Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sundaram ELSS Tax Saver Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sundaram Multi Cap Fund,2019-01-01,2019-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Templeton India Value Fund,2019-01-01,2019-02-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Axis Flexi Cap Fund,2019-02-01,2019-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
DSP ELSS Tax Saver Fund,2019-02-01,2019-03-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
DSP Flexi Cap Fund,2019-02-01,2019-03-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
DSP Large & Mid Cap Fund,2019-02-01,2019-03-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss ELSS Tax saver Fund,2019-02-01,2019-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss Flexi Cap Fund,2019-02-01,2019-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss Recently Listed IPO Fund,2019-02-01,2019-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India ELSS Tax Saver Fund,2019-02-01,2019-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Flexi Cap Fund,2019-02-01,2019-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,
