predictor,months,mean_ic,median_ic,std_ic,min_ic,max_ic,%_months_abs_ic_ge_0.03,abs_mean_ic,ic_pass
t_hml_250,72,0.10354364133990458,0.1274856175496604,0.40850666412145176,-0.8182608695652173,0.7469919786096257,97.22222222222221,0.10354364133990458,PASS
t_hml_750,48,0.10148970370448888,0.17596646428116663,0.3387737815833877,-0.7492610837438421,0.7885375494071146,93.75,0.10148970370448888,PASS
t_hml_180,76,0.0920702584369607,0.17105375682760035,0.425640390210304,-0.8369230769230769,0.813168449197861,94.73684210526315,0.0920702584369607,PASS
sr_p1y,72,0.08936729883164557,0.12880325532553255,0.31235387692942057,-0.693076923076923,0.7504347826086956,94.44444444444444,0.08936729883164557,PASS
ir_p1y,72,0.0852388340531813,0.10069856114222174,0.3078882735088378,-0.6392307692307693,0.6721739130434782,97.22222222222221,0.0852388340531813,PASS
ir_p6m,78,0.08090121313029405,0.11504325222438208,0.3182874933510976,-0.6519658119658119,0.846153846153846,93.58974358974359,0.08090121313029405,PASS
monthly_return_percent,88,0.08006925248738293,0.05690642788029687,0.31720542755608844,-0.6106860070530309,0.6707947967263291,87.5,0.08006925248738293,PASS
t_const_180,76,0.07597973773316653,0.0978077140485272,0.2619829653859127,-0.5353846153846153,0.6115384615384616,92.10526315789474,0.07597973773316653,PASS
sr_p6m,78,0.07446192193163083,0.148377548162626,0.31881188487702355,-0.71008547008547,0.8605128205128205,97.43589743589743,0.07446192193163083,PASS
t_const_250,72,0.07390214706666755,0.1432560171571096,0.2679723727895252,-0.5112328767123286,0.5896103896103896,95.83333333333334,0.07390214706666755,PASS
ir_p3y,48,0.07083394646686135,0.06195110412501717,0.2857948692299609,-0.5655172413793101,0.5590656284760844,97.91666666666666,0.07083394646686135,PASS
const_90,80,0.06651538681563458,0.03813332789967308,0.2661327108372892,-0.5219780219780219,0.7148717948717949,93.75,0.06651538681563458,PASS
const_180,76,0.06516274995313077,0.06901686422766101,0.27448862410720326,-0.5361538461538461,0.6553846153846155,90.78947368421053,0.06516274995313077,PASS
t_const_90,80,0.06375348387905455,0.031770399252355946,0.25075062715270763,-0.5336752136752136,0.7176068376068375,87.5,0.06375348387905455,PASS
t_const_120,79,0.06067991443875664,0.05343835251846431,0.26419038577589726,-0.4981196581196581,0.7244444444444444,89.87341772151899,0.06067991443875664,PASS
const_250,72,0.05969558999879451,0.10481632680842046,0.27671036943713484,-0.5195261014439095,0.5904273504273503,97.22222222222221,0.05969558999879451,PASS
t_hml_120,79,0.05673496583109425,0.14581280788177337,0.42526977171774044,-0.8488888888888889,0.816653934300993,94.9367088607595,0.05673496583109425,PASS
const_120,79,0.056248599565482324,0.05505189966065607,0.28075533557012394,-0.4953846153846153,0.7757264957264958,89.87341772151899,0.056248599565482324,PASS
t_mkt_750,48,-0.05618088738580344,-0.06161409502621962,0.21956150065456975,-0.42741935483870963,0.3890457368718239,93.75,0.05618088738580344,PASS
t_umd_750,48,-0.05539603129510079,-0.06423172401627995,0.3133641449516422,-0.6057238121700474,0.6024630541871919,93.75,0.05539603129510079,PASS
t_hml_90,80,0.04766070283994718,0.0938533039943423,0.42370078224420626,-0.8338461538461538,0.8102368220015278,95.0,0.04766070283994718,PASS
sr_p3y,48,0.043021423747604585,0.02913831645000942,0.31243137779238944,-0.7108977978543197,0.6189839572192514,95.83333333333334,0.043021423747604585,PASS
r2_750,48,-0.03935609411356087,-0.047158644780594006,0.23163896292154237,-0.4762700534759358,0.4669678147939018,87.5,0.03935609411356087,PASS
net_flow_percent,88,0.034408707797394085,0.03927335951063246,0.22069056496888936,-0.42136344667990233,0.5458729183975725,93.18181818181817,0.034408707797394085,PASS
t_smb_250,72,-0.03144958618452512,-0.03223799531518847,0.27295497713186306,-0.6427835051546391,0.7253165316531652,86.11111111111111,0.03144958618452512,PASS
r2_120,79,0.0288538676529654,0.045134467408931116,0.24678309135099744,-0.5323076923076923,0.7073504273504274,87.34177215189874,0.0288538676529654,FAIL
net_flow_amount,88,0.0279070050179805,0.028610169772317708,0.2235995057919322,-0.3952380952380953,0.5308123249299721,87.5,0.0279070050179805,FAIL
t_const_750,48,0.027898578875411296,0.022338924467605457,0.2649954955204034,-0.6013551665725579,0.6203208556149733,85.41666666666666,0.027898578875411296,FAIL
t_umd_120,79,0.024806910772126767,0.07523939808481532,0.314208690344656,-0.8000000000000002,0.7503437738731855,94.9367088607595,0.024806910772126767,FAIL
t_umd_90,80,0.023467685019378577,0.020279549665780314,0.3197028179511589,-0.7439775910364146,0.7606837606837606,87.5,0.023467685019378577,FAIL
t_mkt_120,79,0.020833425277209407,0.0018018018018018018,0.19798605721493548,-0.4941176470588236,0.4953846153846153,83.54430379746836,0.020833425277209407,FAIL
vol_flows_12m,77,0.02070533760080798,0.005132962275819418,0.1542875577381115,-0.32419786096256686,0.3419117647058824,80.51948051948052,0.02070533760080798,FAIL
t_mkt_90,80,0.020551529478195982,0.0053865182436611,0.20829870675630194,-0.49607843137254903,0.5055767761650114,85.0,0.020551529478195982,FAIL
t_umd_250,72,-0.019553386770984962,0.05343312555018512,0.33318333512100246,-0.7319658119658119,0.5544786096256685,97.22222222222221,0.019553386770984962,FAIL
t_smb_750,48,-0.01919811997231047,-0.04252199413489735,0.27849985522665904,-0.5719651240778001,0.6241251778093883,91.66666666666666,0.01919811997231047,FAIL
r2_180,76,0.01833487744631592,0.013167312951018792,0.25631354815180907,-0.52,0.6061538461538462,86.8421052631579,0.01833487744631592,FAIL
r2_90,80,0.016240542594550815,0.007044561959952774,0.25291507438220223,-0.5487179487179487,0.7094017094017094,91.25,0.016240542594550815,FAIL
t_umd_180,76,-0.014012419017463217,0.047861341992768244,0.32063263009663523,-0.7724137931034482,0.7349598930481284,98.68421052631578,0.014012419017463217,FAIL
