,t_hml_250,t_hml_750,t_hml_180,sr_p1y,ir_p1y,ir_p6m,monthly_return_percent,t_const_180,sr_p6m,t_const_250,ir_p3y,const_90,const_180,t_const_90,t_const_120,const_250,t_hml_120,const_120,t_mkt_750,t_umd_750,t_hml_90,sr_p3y,r2_750,net_flow_percent,t_smb_250
t_hml_250,1.0,0.864090316977855,0.9858190237314297,0.10695221557656441,0.38996076918129785,0.29333076082063153,0.1141552511415525,-0.21773104379702876,0.02058010161425172,-0.11212939738889961,0.543747286148502,-0.12325551482410445,-0.24123737860955688,-0.08942697279567818,-0.14010547302077303,-0.16406199755611292,0.9744356550260467,-0.15206765708405684,0.03701693443334781,-0.35236647850629615,0.9695478808926619,0.39307425097698656,0.3355405992184108,0.1337706604926362,-0.28037172808540745
t_hml_750,0.864090316977855,1.0,0.8307642205818497,0.5419018671298307,0.6185410334346505,0.47188449848024316,0.11289622231871473,0.3354320451584889,0.3675640468953539,0.31762917933130697,0.6105080330004342,0.29928354320451583,0.29504993486756403,0.3321754233608337,0.35877116804168474,0.30199739470256187,0.8054711246200608,0.30677377333912287,-0.06133304385584021,-0.4537559704732957,0.8161094224924013,0.4452887537993921,0.2536908380373426,0.5115067303517151,-0.1842162396873643
t_hml_180,0.9858190237314297,0.8307642205818497,1.0,0.09489356228696379,0.38690591034793237,0.16243335611756665,0.021845522898154477,-0.26523581681476416,-0.07639097744360902,-0.1281754453662615,0.5144376899696048,-0.19420369104579632,-0.25137388926862614,-0.17894736842105263,-0.23297334244702667,-0.17544536626149593,0.9812713602187286,-0.22015037593984962,-0.004342162396873643,-0.3144811115935736,0.9740533151059467,0.3739687364307425,0.2967867998263135,0.07628161312371838,-0.23278024310245032
sr_p1y,0.10695221557656441,0.5419018671298307,0.09489356228696379,1.0,0.854395781079169,0.647533603447167,0.3035243424014406,0.7807254485819024,0.7556434497395331,0.8460672712071516,0.5663265306122449,0.6460544086436427,0.7736831950607757,0.6691427101421313,0.7302720432182134,0.827416554119236,0.06196539970416104,0.6963470319634704,-0.2002822405557968,-0.43530178028658273,0.05489098977426201,0.6092053842813722,-0.025835866261398176,0.713325615795228,-0.19570390378802496
ir_p1y,0.38996076918129785,0.6185410334346505,0.38690591034793237,0.854395781079169,1.0,0.7373464531481124,0.3607627500160782,0.5179432760949257,0.6710077818509229,0.5953115956010033,0.5565566652192792,0.52324908354235,0.5013827255772075,0.539423757154801,0.5001607820438614,0.539906103286385,0.3677085343108882,0.47347096276287864,-0.1274424663482414,-0.2748588797221016,0.365168178017879,0.5260529743812419,0.10269214068606165,0.6779857225545051,-0.27577336163097305
ir_p6m,0.29333076082063153,0.47188449848024316,0.16243335611756665,0.647533603447167,0.7373464531481124,1.0,0.5702525322778488,0.46400546821599453,0.8600892778107968,0.41690783973245865,0.4561441597915762,0.6507543089821571,0.45446343130553657,0.63838692952617,0.5622099419567774,0.3698630136986301,0.10385816714930639,0.5685580242542267,-0.18345636126791143,-0.1450282240555797,0.0732052757369213,0.38699522362136346,0.004559270516717325,0.5414711870408073,-0.24413145539906103
monthly_return_percent,0.1141552511415525,0.11289622231871473,0.021845522898154477,0.3035243424014406,0.3607627500160782,0.5702525322778488,1.0,0.23043062200956937,0.4729068399954476,0.16322593092803395,0.27203647416413373,0.326347866854196,0.20710868079289133,0.2981715893108298,0.24028724440116844,0.08871953180268828,-0.03631937682570594,0.25143622200584226,-0.18530178028658273,0.02518454190186713,-0.05705578996718237,0.24033868866695615,-0.14991315675206252,0.1349899616075517,-0.31931313910862436
t_const_180,-0.21773104379702876,0.3354320451584889,-0.26523581681476416,0.7807254485819024,0.5179432760949257,0.46400546821599453,0.23043062200956937,1.0,0.6406015037593985,0.9146568911183999,0.41109422492401215,0.7044702665755297,0.9722761449077238,0.7226794258373206,0.8303212576896788,0.9244324393851695,-0.2780587833219412,0.8124948735475052,-0.11322188449848024,-0.3858011289622232,-0.28010936431989064,0.5078158923143725,-0.019648284845853233,0.5920710868079289,-0.1254421506206187
sr_p6m,0.02058010161425172,0.3675640468953539,-0.07639097744360902,0.7556434497395331,0.6710077818509229,0.8600892778107968,0.4729068399954476,0.6406015037593985,1.0,0.5919030162711428,0.380481980026053,0.7870231034787997,0.6488038277511962,0.7702550613943019,0.7539169691068425,0.5937680879799344,-0.13076796621100417,0.7736187862770141,-0.29515848892748586,-0.1945288753799392,-0.1600045524096157,0.38178462874511504,-0.1440512375162831,0.620404911544152,-0.09843076725191331
t_const_250,-0.11212939738889961,0.31762917933130697,-0.1281754453662615,0.8460672712071516,0.5953115956010033,0.41690783973245865,0.16322593092803395,0.9146568911183999,0.5919030162711428,1.0,0.4862136343899262,0.6009711235449225,0.8755546980513216,0.6322914656891119,0.7564473599588398,0.9750144703839475,-0.1465367547752267,0.7164769438549102,-0.13851498046026922,-0.43986105080330007,-0.1355714193838832,0.6175640468953539,-0.03473729917498915,0.5740562094025339,-0.22757090488134285
