feature,missing,missing_pct
tna,0,0.0
vol_flows,1171,36.03076923076923
const_90,194,5.969230769230769
const_120,253,7.7846153846153845
const_180,400,12.307692307692308
const_250,586,18.03076923076923
const_750,1696,52.184615384615384
t_const_90,194,5.969230769230769
t_const_120,253,7.7846153846153845
t_const_180,400,12.307692307692308
t_const_250,586,18.03076923076923
t_const_750,1696,52.184615384615384
r2_90,194,5.969230769230769
r2_120,253,7.7846153846153845
r2_180,400,12.307692307692308
r2_250,586,18.03076923076923
r2_750,1696,52.184615384615384
t_mkt_90,194,5.969230769230769
t_mkt_120,253,7.7846153846153845
t_mkt_180,400,12.307692307692308
t_mkt_250,586,18.03076923076923
t_mkt_750,1696,52.184615384615384
t_smb_90,194,5.969230769230769
t_smb_120,253,7.7846153846153845
t_smb_180,400,12.307692307692308
t_smb_250,586,18.03076923076923
t_smb_750,1696,52.184615384615384
t_hml_90,194,5.969230769230769
t_hml_120,253,7.7846153846153845
t_hml_180,400,12.307692307692308
t_hml_250,586,18.03076923076923
t_hml_750,1696,52.184615384615384
t_umd_90,194,5.969230769230769
t_umd_120,253,7.7846153846153845
t_umd_180,400,12.307692307692308
t_umd_250,586,18.03076923076923
t_umd_750,1696,52.184615384615384
ir_p6m,283,8.707692307692309
ir_p1y,586,18.03076923076923
ir_p3y,1696,52.184615384615384
sr_p6m,283,8.707692307692309
sr_p1y,586,18.03076923076923
sr_p3y,1696,52.184615384615384
