feature,mean_ic,median_ic,std_ic,min_ic,max_ic,months_available,positive_ic_pct,abs_mean_ic,selected_ic
t_hml_750,0.20537432273067047,0.3561476504943314,0.34971448700386437,-0.6301573426573427,0.674504714280261,23,28.8135593220339,0.20537432273067047,True
t_hml_250,0.15977686472225516,0.2850935828877006,0.4166006455502039,-0.7997775305895439,0.7483514001806685,47,55.932203389830505,0.15977686472225516,True
t_hml_180,0.14050432872124138,0.2478294424078719,0.4297506219008252,-0.7919354838709678,0.80548128342246,51,57.6271186440678,0.14050432872124138,True
ir_p1y,0.11210063263382204,0.13326626425217974,0.3061404599070841,-0.4991843599438536,0.646718576195773,47,57.6271186440678,0.11210063263382204,True
sr_p1y,0.10576710382183657,0.13312921004286588,0.3148878907721991,-0.48870967741935495,0.696551724137931,47,50.847457627118644,0.10576710382183657,True
ir_p3y,0.09707665730545643,0.07278168579538444,0.29431135690300325,-0.44453671328671335,0.562216887590022,23,23.728813559322035,0.09707665730545643,True
t_hml_120,0.09192834038088739,0.19140272255542828,0.4326718436519613,-0.7954545454545454,0.8065699006875477,54,57.6271186440678,0.09192834038088739,True
t_const_250,0.09188072433155625,0.14663097460462823,0.26524322956433627,-0.4679750629117717,0.52719651240778,47,54.23728813559322,0.09188072433155625,True
ir_p6m,0.08995088599337595,0.13796791443850268,0.30023827981874396,-0.5290876242095754,0.8013196480938416,53,55.932203389830505,0.08995088599337595,True
sr_p3y,0.08478183932769301,0.15401703072935952,0.3058919297885693,-0.4364947552447553,0.555620498904081,23,25.423728813559322,0.08478183932769301,True
t_hml_90,0.08465605083720452,0.19262240107310527,0.43160063038793317,-0.7767595307917888,0.7060351413292589,55,59.32203389830508,0.08465605083720452,True
t_const_180,0.08067046005566861,0.11601784620768085,0.2663390800329672,-0.4942411924119241,0.5818548387096775,51,55.932203389830505,0.08067046005566861,True
sr_p6m,0.07955774446362439,0.13593172119487906,0.3135491368648816,-0.5038843721770552,0.8196480938416422,53,57.6271186440678,0.07955774446362439,True
const_250,0.07954177799621263,0.13151955209517976,0.2790283605043237,-0.47745924961114833,0.5909090909090909,47,52.54237288135594,0.07954177799621263,True
const_180,0.07490594270135482,0.10734805550127027,0.2858721855462561,-0.47429990966576335,0.6314516129032258,51,52.54237288135594,0.07490594270135482,True
const_90,0.06889076119139283,0.043125419181757205,0.2877079226238783,-0.5219780219780219,0.694281524926686,55,52.54237288135594,0.06889076119139283,True
t_const_90,0.05780680921961165,0.031834844684545636,0.2679008129958047,-0.49389499389499386,0.6722873900293255,55,52.54237288135594,0.05780680921961165,True
