,tna,vol_flows,const_90,const_120,const_180,const_250,const_750,t_const_90,t_const_120,t_const_180,t_const_250,t_const_750,r2_90,r2_120,r2_180,r2_250,r2_750,t_mkt_90,t_mkt_120,t_mkt_180,t_mkt_250,t_mkt_750,t_smb_90,t_smb_120,t_smb_180,t_smb_250,t_smb_750,t_hml_90,t_hml_120,t_hml_180,t_hml_250,t_hml_750,t_umd_90,t_umd_120,t_umd_180,t_umd_250,t_umd_750,ir_p6m,ir_p1y,ir_p3y,sr_p6m,sr_p1y,sr_p3y
tna,1.0,0.8458488721776091,0.004289509425043728,0.008600808032274606,0.028562561205244797,0.03279232972046305,0.027094573790006134,0.007162689335262137,0.012806036240267932,0.033154204091423306,0.03908312835967641,0.04019983212915469,-0.08268499429512359,-0.08737180288579235,-0.09996402731408441,-0.10987333801105786,-0.08259145343349135,-0.08427232795108895,-0.09044665901947829,-0.09826694213907383,-0.1041938681343669,-0.10737682102802615,-0.15178211340753842,-0.1616798288312636,-0.16066623785325684,-0.1481236713227841,-0.11496947177457671,-0.011088542005170964,-0.012904387454349096,-0.011639250437181406,-0.00842423576720903,0.0932612870768044,-0.07253997302737057,-0.08247786208434663,-0.1078554674683722,-0.14367652536064823,-0.2619968550177274,-0.004192590507744763,0.028660424082235403,0.0669369315276107,0.024914640128518583,0.019560966618811532,0.01556628486975932
vol_flows,0.8458488721776091,1.0,0.022967677707812453,0.0233409289352504,0.029411929905192657,0.017942059089371267,0.0754657191470922,0.028974461000447527,0.02824470070620215,0.03311868192763284,0.017029554398102685,0.08080292330650644,-0.04511506432825008,-0.046511462283839566,-0.0594916579517157,-0.07684570148199985,-0.1286392246219056,-0.06820891518918468,-0.07614464457582841,-0.09475605802602916,-0.11027629084574417,-0.16399135637350243,-0.10111109615440703,-0.11045227363802917,-0.10813652046808929,-0.10656590530810252,0.005712329325097911,0.024098105402243997,0.03674258582824511,0.05715852028412182,0.06983420946403297,0.06155298049117051,-0.03636731143949623,-0.03162677873938702,-0.03404015378269469,-0.04877447456178034,-0.08307333165056864,0.01635567672622533,0.03034278622384768,0.08265067526190265,0.012442002709086443,0.027674742018698784,-0.008960527278038807
const_90,0.004289509425043728,0.022967677707812453,1.0,0.8576299392045715,0.6352180972875466,0.47315070772385553,0.022796938175326235,0.9876237907466553,0.8475735042761036,0.6285224016583281,0.4708906240426715,0.024135943072634426,-0.2242930094731662,-0.1923071411515421,-0.09395337205043863,0.07012987706227496,0.12844955645137018,-0.18683544374689656,-0.15077458342438735,-0.03909622629037793,0.11933472949015661,0.11074983278187117,-0.07150826947024033,-0.09676113150391953,-0.09146040321878901,-0.045745784815969734,-0.02824571145485132,0.07378103074262259,0.04068528858887541,-0.02999893220572945,-0.09137648758194081,0.20895679542091528,-0.10253577163330067,-0.17300510322649693,-0.2703775473403859,-0.30145511992686,-0.30564630295428274,0.7426332919112784,0.4766101885351219,0.1605327308058046,0.15282237654790268,0.006999574214250492,0.12387118160157791
const_120,0.008600808032274606,0.0233409289352504,0.8576299392045715,1.0,0.7657425904593104,0.5460410167067797,0.07030330819656738,0.8494315477070336,0.9868713176463515,0.7559848675298472,0.5401785436314621,0.07372343065193539,-0.21692043260939659,-0.2163427166856244,-0.12907759623187268,0.04745160758001585,0.11470375181354657,-0.17089346463134597,-0.16698999037068654,-0.0674364677798376,0.1110445007516896,0.10103968822391624,-0.043933457938433215,-0.07156935292203041,-0.079062422071154,-0.04381084713554054,-0.0470476042639038,0.08365268624756259,0.06888663429160832,-0.010559784358820708,-0.11480524832237095,0.19970820015831953,-0.008884787369509272,-0.12218675048723741,-0.23584919784960398,-0.3183806058466033,-0.3381484917129029,0.8464399192711265,0.5364407752764915,0.20497438229697956,0.11582244399183413,0.04729109010361586,0.12808238524298923
const_180,0.028562561205244797,0.029411929905192657,0.6352180972875466,0.7657425904593104,1.0,0.7960196385592281,0.28318655339772025,0.6263751734533917,0.7579956409707743,0.9880574861453224,0.7906065169256326,0.2873257463828975,-0.3156094121694373,-0.3031343398911565,-0.2920571526726339,-0.15715176645358084,-0.018188796576027597,-0.25080431630967914,-0.2186930746313419,-0.21103282441317112,-0.06800919452980671,-0.0437699586650999,-0.03027867084800017,-0.04779389329888693,-0.12381357718137057,-0.12888595062468283,-0.1712393084300584,0.11100295818344887,0.07551689410390881,0.03949027198856437,-0.09283304958089494,0.19783353126804137,0.15910628153128475,0.06971683986729492,-0.10162261301990667,-0.26402499116016787,-0.3879402631636147,0.6836756642195178,0.7347141116509974,0.3596223539910999,0.08892411663221536,0.16322185284569538,0.30243475559149197
const_250,0.03279232972046305,0.017942059089371267,0.47315070772385553,0.5460410167067797,0.7960196385592281,1.0,0.5185543010191083,0.471749337352957,0.5411453507814663,0.7890347452989989,0.9882121809024349,0.5174926042985581,-0.35726852542016074,-0.3460460150860671,-0.3161775493887636,-0.2700079477086887,-0.16361888305828362,-0.3016145399813187,-0.2638098748793637,-0.21754224085905757,-0.16645970964500406,-0.20333242102248464,-0.011677101346738562,-0.008001272273182735,-0.08967670666836287,-0.12581266395596466,-0.3091449144668409,0.15759939083625005,0.12963330194858913,0.09524451973093245,-0.00550689313317195,0.21819246266028036,0.3761860244820046,0.30119677258425964,0.12406170344677254,-0.061309463409607204,-0.3749067756583549,0.4546931401652375,0.8559775865437003,0.5015205767932054,0.15374539350158264,0.21441727697829838,0.5779053559820171
const_750,0.027094573790006134,0.0754657191470922,0.022796938175326235,0.07030330819656738,0.28318655339772025,0.5185543010191083,1.0,0.013550510906732554,0.060326522759776104,0.29160556799376386,0.5376532473780203,0.9915787950265355,-0.48299839997725846,-0.5297226038084412,-0.5524134397817323,-0.48178450240344756,-0.3661796181272022,-0.5135755219791304,-0.5517605762073994,-0.5433147174968316,-0.4299768930370836,-0.4074465877465155,-0.11528281405813327,-0.09349664872654295,-0.12909305416370884,-0.11099939511208645,-0.25032422821951644,0.23153457914060255,0.2880112353890934,0.37076386702564024,0.37182528235463846,0.16536826555771322,0.5991626650776145,0.5847535565993566,0.48005914370776076,0.332821455453515,0.020301538707362513,0.008148496589290571,0.5112212147933902,0.8065371110650137,0.44459010631940116,0.4703349679437865,0.8669598841248775
t_const_90,0.007162689335262137,0.028974461000447527,0.9876237907466553,0.8494315477070336,0.6263751734533917,0.471749337352957,0.013550510906732554,1.0,0.8571571435162739,0.6296577991835427,0.47173427557003755,0.015380205113177082,-0.19196627434667993,-0.15630285538573307,-0.05293923018156436,0.10385855458714786,0.13725542687390205,-0.1546685082220175,-0.11621789270751508,0.0019077496638463243,0.1514110443769823,0.1182234708901279,-0.060425000205393084,-0.09328079744182691,-0.09055119846088851,-0.04142812004658629,-0.023077082651022107,0.10925093719160292,0.07271631984368825,-0.006284432777076171,-0.0794782890365536,0.2149717253052153,-0.11046823198030574,-0.18378444032930202,-0.2859958855934414,-0.3167835776474484,-0.305888315677066,0.7525948923517466,0.4761595581430171,0.15833714124585646,0.11376586444175558,-0.02178789024909758,0.11573350100006317
t_const_120,0.012806036240267932,0.02824470070620215,0.8475735042761036,0.9868713176463515,0.7579956409707743,0.5411453507814663,0.060326522759776104,0.8571571435162739,1.0,0.762238259561821,0.540269380209664,0.06438151252068099,-0.19098327827511768,-0.18472834487249082,-0.09459045469678858,0.07985114210808687,0.12384683483707673,-0.14267823331186447,-0.13470204467006072,-0.03194705290368862,0.14292802735600607,0.10905154523252883,-0.03823342363054196,-0.0727080492780991,-0.08672542695101723,-0.0430172365253834,-0.04145928635569058,0.11879257777146089,0.10328681637903361,0.014410103667797183,-0.10396749894473899,0.2054731392298139,-0.020601968629625697,-0.13919918398916858,-0.2612981347113415,-0.34483985887775853,-0.34078099281926333,0.8637739712578145,0.5367280224547382,0.2026229242007023,0.08153380516935507,0.027437434905630505,0.11901455207617122
t_const_180,0.033154204091423306,0.03311868192763284,0.6285224016583281,0.7559848675298472,0.9880574861453224,0.7890347452989989,0.29160556799376386,0.6296577991835427,0.762238259561821,1.0,0.7967673624607396,0.29660986732891953,-0.31619014192294115,-0.2991094411759368,-0.2717760674134246,-0.130220051379023,-0.0030564382638886296,-0.24442521030975684,-0.20844006104136437,-0.18581620236515103,-0.037293410557563404,-0.030573104178179305,-0.04374686139016291,-0.06308454189050101,-0.14208301656916178,-0.14100961828446876,-0.18315291511615192,0.1412801508760452,0.10786493301215744,0.07325560973809972,-0.06975459747594603,0.20520777420585487,0.15890790649268746,0.0678087944686922,-0.1181039711261794,-0.2795802515310131,-0.3968308228503722,0.6923644965085641,0.7464083985364771,0.36971637738082935,0.08978323206091857,0.15358959386051516,0.30777226729092527
