feature_1,feature_2,spearman_rho,abs_rho
const_750,t_const_750,0.9915787950265355,0.9915787950265355
const_250,t_const_250,0.9882121809024349,0.9882121809024349
const_180,t_const_180,0.9880574861453224,0.9880574861453224
const_90,t_const_90,0.9876237907466553,0.9876237907466553
const_120,t_const_120,0.9868713176463515,0.9868713176463515
r2_750,t_mkt_750,0.9726738073876586,0.9726738073876586
r2_250,t_mkt_250,0.9650542282261506,0.9650542282261506
r2_180,t_mkt_180,0.9569934332045502,0.9569934332045502
r2_120,t_mkt_120,0.9477430440502395,0.9477430440502395
t_hml_90,t_hml_120,0.9444776675734385,0.9444776675734385
r2_90,t_mkt_90,0.9418126478898512,0.9418126478898512
t_smb_90,t_smb_120,0.9377627577923102,0.9377627577923102
t_umd_90,t_umd_120,0.9327985639919453,0.9327985639919453
r2_90,r2_120,0.9326530835262513,0.9326530835262513
t_mkt_90,t_mkt_120,0.9242938321358203,0.9242938321358203
t_hml_120,t_hml_180,0.9224066946313988,0.9224066946313988
t_hml_180,t_hml_250,0.9066183968577198,0.9066183968577198
t_smb_180,t_smb_250,0.9057798896940522,0.9057798896940522
r2_120,t_mkt_90,0.8951516760523388,0.8951516760523388
r2_120,r2_180,0.8868721041328991,0.8868721041328991
r2_250,t_mkt_180,0.8862223879928102,0.8862223879928102
r2_180,r2_250,0.8854336132749439,0.8854336132749439
r2_180,t_mkt_120,0.8840322138090234,0.8840322138090234
t_smb_120,t_smb_180,0.8838459268313982,0.8838459268313982
t_mkt_120,t_mkt_180,0.8795830474288633,0.8795830474288633
t_mkt_180,t_mkt_250,0.8790037476673674,0.8790037476673674
t_const_250,ir_p1y,0.8779309507573065,0.8779309507573065
t_umd_120,t_umd_180,0.8760427431586213,0.8760427431586213
t_umd_180,t_umd_250,0.8730822778485876,0.8730822778485876
const_750,sr_p3y,0.8669598841248775,0.8669598841248775
r2_90,t_mkt_120,0.8665680205242405,0.8665680205242405
t_const_120,ir_p6m,0.8637739712578145,0.8637739712578145
const_90,const_120,0.8576299392045715,0.8576299392045715
t_const_90,t_const_120,0.8571571435162739,0.8571571435162739
const_250,ir_p1y,0.8559775865437003,0.8559775865437003
