month_date,feature,ic,n_obs
2019-02-01,tna,0.18986568986568983,27
2019-02-01,vol_flows,,0
2019-02-01,const_90,,0
2019-02-01,const_120,,0
2019-02-01,const_180,,0
2019-02-01,const_250,,0
2019-02-01,const_750,,0
2019-02-01,t_const_90,,0
2019-02-01,t_const_120,,0
2019-02-01,t_const_180,,0
2019-02-01,t_const_250,,0
2019-02-01,t_const_750,,0
2019-02-01,r2_90,,0
2019-02-01,r2_120,,0
2019-02-01,r2_180,,0
2019-02-01,r2_250,,0
2019-02-01,r2_750,,0
2019-02-01,t_mkt_90,,0
2019-02-01,t_mkt_120,,0
2019-02-01,t_mkt_180,,0
2019-02-01,t_mkt_250,,0
2019-02-01,t_mkt_750,,0
2019-02-01,t_smb_90,,0
2019-02-01,t_smb_120,,0
2019-02-01,t_smb_180,,0
2019-02-01,t_smb_250,,0
2019-02-01,t_smb_750,,0
2019-02-01,t_hml_90,,0
2019-02-01,t_hml_120,,0
2019-02-01,t_hml_180,,0
2019-02-01,t_hml_250,,0
2019-02-01,t_hml_750,,0
2019-02-01,t_umd_90,,0
2019-02-01,t_umd_120,,0
2019-02-01,t_umd_180,,0
2019-02-01,t_umd_250,,0
2019-02-01,t_umd_750,,0
2019-02-01,ir_p6m,,0
2019-02-01,ir_p1y,,0
2019-02-01,ir_p3y,,0
2019-02-01,sr_p6m,,0
2019-02-01,sr_p1y,,0
2019-02-01,sr_p3y,,0
2019-03-01,tna,0.09584859584859586,27
2019-03-01,vol_flows,,0
2019-03-01,const_90,,0
2019-03-01,const_120,,0
2019-03-01,const_180,,0
2019-03-01,const_250,,0
2019-03-01,const_750,,0
2019-03-01,t_const_90,,0
2019-03-01,t_const_120,,0
2019-03-01,t_const_180,,0
2019-03-01,t_const_250,,0
2019-03-01,t_const_750,,0
2019-03-01,r2_90,,0
2019-03-01,r2_120,,0
2019-03-01,r2_180,,0
2019-03-01,r2_250,,0
2019-03-01,r2_750,,0
2019-03-01,t_mkt_90,,0
2019-03-01,t_mkt_120,,0
2019-03-01,t_mkt_180,,0
2019-03-01,t_mkt_250,,0
2019-03-01,t_mkt_750,,0
2019-03-01,t_smb_90,,0
2019-03-01,t_smb_120,,0
2019-03-01,t_smb_180,,0
2019-03-01,t_smb_250,,0
2019-03-01,t_smb_750,,0
2019-03-01,t_hml_90,,0
2019-03-01,t_hml_120,,0
2019-03-01,t_hml_180,,0
