scheme_name,month_date,target_month,rf_probability,monthly_return_percent,benchmark_monthly_return_percent,excess_return_percent,rank,funds_in_month,portfolio,model_name,probability_column,xgb_probability,lgbm_probability,average_probability
Axis Flexi Cap Fund,2024-01-01,2024-02-01,0.33336794852034773,3.476749,1.574078,1.902671,28.0,32,16,RF,rf_probability,,,
DSP ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.40426236980254016,3.724196,1.574078,2.150118,24.0,32,14,RF,rf_probability,,,
DSP Flexi Cap Fund,2024-01-01,2024-02-01,0.46812406596671274,0.885235,1.574078,-0.688843,18.0,32,10,RF,rf_probability,,,
Edelweiss ELSS Tax saver Fund,2024-01-01,2024-02-01,0.3313549804598566,3.105058,1.574078,1.53098,29.0,32,17,RF,rf_probability,,,
Edelweiss Flexi Cap Fund,2024-01-01,2024-02-01,0.34298408963757254,3.113537,1.574078,1.539459,27.0,32,16,RF,rf_probability,,,
Franklin India ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.5013702369354067,3.185397,1.574078,1.611319,13.0,32,7,RF,rf_probability,,,
Franklin India Flexi Cap Fund,2024-01-01,2024-02-01,0.4653606533387492,2.999653,1.574078,1.425575,20.0,32,11,RF,rf_probability,,,
Franklin India Focused Equity Fund,2024-01-01,2024-02-01,0.4088437530391865,4.49679,1.574078,2.922712,23.0,32,13,RF,rf_probability,,,
Franklin India Opportunities Fund,2024-01-01,2024-02-01,0.7874063177019056,4.346663,1.574078,2.772585,1.0,32,0,RF,rf_probability,,,
HDFC ELSS Tax saver,2024-01-01,2024-02-01,0.5823215700965704,4.055237,1.574078,2.481159,3.0,32,1,RF,rf_probability,,,
HDFC Flexi Cap Fund,2024-01-01,2024-02-01,0.4846173746188451,4.252392,1.574078,2.678314,15.0,32,8,RF,rf_probability,,,
HDFC Focused Fund,2024-01-01,2024-02-01,0.5278839438511264,4.036855,1.574078,2.462777,9.0,32,5,RF,rf_probability,,,
HDFC Value Fund,2024-01-01,2024-02-01,0.39903382327167175,3.384377,1.574078,1.810299,25.0,32,15,RF,rf_probability,,,
HSBC Flexi Cap Fund,2024-01-01,2024-02-01,0.3027276626538237,4.262429,1.574078,2.688351,31.0,32,18,RF,rf_probability,,,
ICICI Prudential ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.30588075982325225,3.919917,1.574078,2.345839,30.0,32,18,RF,rf_probability,,,
ICICI Prudential India Opportunities Fund,2024-01-01,2024-02-01,0.5160154575816334,3.343363,1.574078,1.769285,10.0,32,5,RF,rf_probability,,,
ITI ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.5728884747605332,2.920871,1.574078,1.346793,4.0,32,1,RF,rf_probability,,,
Kotak ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.5037327259599707,5.421958,1.574078,3.84788,12.0,32,6,RF,rf_probability,,,
LIC MF ELSS Tax Saver,2024-01-01,2024-02-01,0.46664101784868045,3.340626,1.574078,1.766548,19.0,32,11,RF,rf_probability,,,
LIC MF Flexi Cap Fund,2024-01-01,2024-02-01,0.5649023659776753,2.408153,1.574078,0.834075,6.0,32,3,RF,rf_probability,,,
Motilal Oswal ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.5868579013263999,4.861023,1.574078,3.286945,2.0,32,0,RF,rf_probability,,,
Motilal Oswal Flexi Cap Fund,2024-01-01,2024-02-01,0.4587038951244835,3.849571,1.574078,2.275493,21.0,32,12,RF,rf_probability,,,
Navi Flexi Cap Fund,2024-01-01,2024-02-01,0.48907937261397033,2.41256,1.574078,0.838482,14.0,32,8,RF,rf_probability,,,
Parag Parikh ELSS Tax Saver Fund,2024-01-01,2024-02-01,0.5375677353863881,4.29321,1.574078,2.719132,8.0,32,4,RF,rf_probability,,,
Parag Parikh Flexi Cap Fund,2024-01-01,2024-02-01,0.4785763853621435,4.294344,1.574078,2.720266,16.0,32,9,RF,rf_probability,,,
PGIM India Flexi Cap Fund,2024-01-01,2024-02-01,0.5665867958408984,3.532847,1.574078,1.958769,5.0,32,2,RF,rf_probability,,,
