model_name,month_date,target_month,portfolio,portfolio_return_percent,benchmark_return_percent,mean_fund_excess_return_percent,funds,excess_return_percent,excess_difference
Combination,2024-01-01,2024-02-01,0,3.377408,1.574078,1.8033299999999999,2,1.8033299999999999,0.0
Combination,2024-01-01,2024-02-01,1,3.705377,1.574078,2.1312990000000003,2,2.131299,-4.440892098500626e-16
Combination,2024-01-01,2024-02-01,2,4.055237,1.574078,2.481159,1,2.481159,0.0
Combination,2024-01-01,2024-02-01,3,3.7393035,1.574078,2.1652255,2,2.1652255,0.0
Combination,2024-01-01,2024-02-01,4,2.221846,1.574078,0.647768,1,0.6477680000000001,1.1102230246251565e-16
Combination,2024-01-01,2024-02-01,5,3.4246119999999998,1.574078,1.8505340000000001,2,1.8505339999999997,-4.440892098500626e-16
Combination,2024-01-01,2024-02-01,6,3.7965090000000004,1.574078,2.222431,2,2.2224310000000003,4.440892098500626e-16
Combination,2024-01-01,2024-02-01,7,0.885235,1.574078,-0.688843,1,-0.6888430000000001,-1.1102230246251565e-16
Combination,2024-01-01,2024-02-01,8,2.3120795000000003,1.574078,0.7380015000000001,2,0.7380015000000002,1.1102230246251565e-16
Combination,2024-01-01,2024-02-01,9,5.421958,1.574078,3.84788,1,3.84788,0.0
Combination,2024-01-01,2024-02-01,10,3.353452,1.574078,1.779374,2,1.7793739999999998,-2.220446049250313e-16
Combination,2024-01-01,2024-02-01,11,3.438105,1.574078,1.864027,2,1.864027,0.0
Combination,2024-01-01,2024-02-01,12,0.783845,1.574078,-0.790233,1,-0.7902330000000001,-1.1102230246251565e-16
Combination,2024-01-01,2024-02-01,13,2.9662025,1.574078,1.3921245,2,1.3921245,0.0
Combination,2024-01-01,2024-02-01,14,4.49679,1.574078,2.922712,1,2.9227119999999998,-4.440892098500626e-16
Combination,2024-01-01,2024-02-01,15,3.98728,1.574078,2.413202,2,2.413202,0.0
Combination,2024-01-01,2024-02-01,16,3.6837435000000003,1.574078,2.1096655,2,2.1096655,0.0
Combination,2024-01-01,2024-02-01,17,3.724196,1.574078,2.150118,1,2.150118,0.0
Combination,2024-01-01,2024-02-01,18,3.698333,1.574078,2.124255,2,2.124255,0.0
