,N,Mean,Std. Dev.,Min,25th,Median,75th,Max
t_hml_750,3462.0,-0.3069828357717386,5.421767209073255,-15.085329545817038,-3.719719986678151,-1.2470454803901632,2.985479055341801,24.283383260594427
t_hml_250,5018.0,-0.3937118411547457,3.5121197217845466,-10.535586723220808,-2.7925141368477377,-0.6104635165561889,1.689881844568904,15.64846180602641
t_hml_180,5307.0,-0.32636862764407837,2.9577599229850775,-8.470894299822824,-2.364575944388137,-0.4513724076543836,1.4664361594258102,13.77061037498299
ir_p1y,5018.0,0.0060850602049776804,0.07925701597634523,-0.26187764008426034,-0.05161068540170483,0.009814436452089393,0.06822309349586952,0.2013817356594655
sr_p1y,5018.0,0.05885548918145014,0.07382872251306932,-0.13173812603316223,0.0010963789929076618,0.04084238296678511,0.11761262489848216,0.2802327469982259
ir_p3y,3462.0,-0.004027227731267173,0.0449268710632037,-0.12971292121959138,-0.037225900374224304,-0.0086935291404903,0.029061045815161075,0.15170334706867294
t_hml_120,5594.0,-0.28631222980875876,2.4620704722041973,-7.152072845286631,-1.9359220604385663,-0.35646284300670106,1.2064365975877265,12.089652261483321
t_const_250,5018.0,0.409825266854162,1.194362199009343,-3.9766585466921494,-0.4751159107835543,0.43079532660385034,1.3257219549924293,3.5777324781315794
ir_p6m,5558.0,0.011390325427893866,0.10998593989395711,-0.4080903272759738,-0.06170434022777448,0.01648870206124876,0.0894381333877868,0.35445189130085786
sr_p3y,3462.0,0.05911574210220723,0.0226405168890652,-0.027005818230934186,0.04339907482979774,0.05719581933033782,0.07441592363369465,0.13242649077187793
t_hml_90,5715.0,-0.2068213235061897,2.1969799885041015,-6.889122845912228,-1.687538745511067,-0.2224322943410446,1.1328525778912506,11.141211710676462
t_const_180,5307.0,0.35394032659080715,1.20494514568836,-3.7791007237263283,-0.5281689489073609,0.403581580426049,1.296347369523784,3.6523875500385663
sr_p6m,5558.0,0.06126230771453642,0.10169476056534453,-0.244791107846997,-0.012892150382175845,0.0547013580990352,0.13885151658058137,0.38961830038908646
const_250,5018.0,5.668635292479842e-05,0.00029723560175255433,-0.0028934157228410542,-0.00010474656415668886,9.087263434817653e-05,0.0002636488909571514,0.0011360601581949321
const_180,5307.0,5.819200531503042e-05,0.00035484660914473283,-0.004625681840699352,-0.00013668280452231254,0.00010157359118840732,0.00030038475394718165,0.0011902379370348876
const_90,5715.0,4.033751804249525e-05,0.00045818938323382305,-0.004849110488132335,-0.00018299765922595847,7.4411411021789e-05,0.0003313372180213667,0.0016956378888726609
t_const_90,5715.0,0.19355289024789332,1.1039804540976061,-4.501568259471655,-0.5136111238155672,0.22512242318703035,0.9744695510637975,4.03625152075183
t_umd_750,3462.0,-1.8776133700743418,3.431519606635022,-11.105439646254215,-4.146292419377096,-2.207639007880172,0.15429888239971987,11.21956540459146
const_120,5594.0,5.435872599652319e-05,0.0004130382455703241,-0.0053948066081385,-0.00016603635633063584,0.00010425145068878085,0.0003250794341875935,0.0015412832601650786
t_const_120,5594.0,0.26526724027788656,1.1600211749743492,-3.807171509787054,-0.5276539419608898,0.35798089615018436,1.1149318596811875,3.9310998036371525
t_smb_750,3462.0,-1.1782545553992916,4.350305431302937,-13.903350391976229,-3.521951304902486,-1.2864381004447794,1.0735881049949456,14.652789994810393
r2_750,3462.0,0.8472419102675448,0.05753612795229099,0.1434919822286519,0.8290406655769409,0.8576775518534407,0.8779385856892672,0.9431541824643151
