,N,Mean,Std. Dev.,Min,25th,Median,75th,Max
t_hml_750,3460.0,-0.3116149286304972,5.415298890584876,-15.085329545817038,-3.720563831084389,-1.2470454803901632,2.9852617676375255,24.283383260594427
t_hml_250,3460.0,-0.8594735063085059,3.46876748761003,-10.535586723220808,-3.34612912623219,-1.1511321715734733,1.2221874850500407,11.424324726044784
t_hml_180,3460.0,-0.7449421555513753,2.9246596612590365,-8.470894299822824,-2.8401373297714105,-0.8987510322918741,1.0837336417727217,10.184780293885996
ir_p1y,3460.0,0.01272778171993165,0.07986698371340849,-0.26187764008426034,-0.04416487658458351,0.022036475716662663,0.07530341239939642,0.19606875745371408
sr_p1y,3460.0,0.056269606780149715,0.06894622651679129,-0.08160145414537687,0.001825451949130883,0.039694893224580016,0.10884415484397159,0.2802327469982259
ir_p3y,3460.0,-0.0040040914673548835,0.04492862385145416,-0.12971292121959138,-0.037223394338962705,-0.008614037998226937,0.029105866437753276,0.15170334706867294
t_hml_120,3460.0,-0.6633672114608173,2.417177459053679,-7.152072845286631,-2.3504365478312055,-0.7080606502970128,0.8514855534700336,9.660288530266643
t_const_250,3460.0,0.560619056449651,1.1289606153021876,-3.3426540784121177,-0.2765638529460911,0.5926930207623129,1.420747761582734,3.5777324781315794
ir_p6m,3460.0,0.016328579271143378,0.11337492768226545,-0.4080903272759738,-0.055909796582087085,0.02626266885275637,0.09714543051878838,0.33336439126449247
sr_p3y,3460.0,0.05912561601249756,0.022642405070672698,-0.027005818230934186,0.04340039991411375,0.05720036324182265,0.07442974614621449,0.13242649077187793
t_hml_90,3460.0,-0.540145770119492,2.1612094531305854,-6.889122845912228,-2.1050623845785448,-0.5420628684946562,0.8454618351319476,7.8791371876008185
t_const_180,3460.0,0.4623820827260236,1.1668864463000248,-3.3760209269897063,-0.3825075826544352,0.5543400453563149,1.3744278294649224,3.6523875500385663
sr_p6m,3460.0,0.05736398410644721,0.10047996710642693,-0.24447533628886958,-0.013836378916682426,0.05164328420479255,0.1314883947148775,0.38961830038908646
const_250,3460.0,9.825187407067088e-05,0.000257027472645349,-0.0028934157228410542,-5.917930540435041e-05,0.00011841739011431268,0.0002737206451920388,0.000794515897500289
const_180,3460.0,9.46636777327836e-05,0.0003125182935609184,-0.004625681840699352,-9.018422125240641e-05,0.00012403662012515175,0.0003072498327726262,0.0009671215090787807
const_90,3460.0,6.996635408772077e-05,0.00038445784357006655,-0.004849110488132335,-0.0001409928095982864,8.319900488423618e-05,0.0003216050046053026,0.001694260119886341
t_const_90,3460.0,0.24157263594084774,1.057382392057622,-3.7068010697307745,-0.42957167160070486,0.2615025771824441,0.9932602129227532,4.03625152075183
t_umd_750,3460.0,-1.8762884355342837,3.430342817942982,-11.105439646254215,-4.145604892592029,-2.207639007880172,0.15240839710468954,11.21956540459146
const_120,3460.0,7.722822684050406e-05,0.0003602956927076733,-0.0053948066081385,-0.00012755674122513677,0.00011452008578701522,0.00031463856784652886,0.0013470684792534666
t_const_120,3460.0,0.30988971612701577,1.1305519605010164,-3.4672141328830604,-0.44168951623763336,0.4058169614884373,1.1523428254268606,3.9310998036371525
t_smb_750,3460.0,-1.1821947791197849,4.345803453191982,-13.903350391976229,-3.525157616430125,-1.2875676571602122,1.0724426698521181,14.652789994810393
r2_750,3460.0,0.8472174615663127,0.05753038623379216,0.1434919822286519,0.8290245770678625,0.8576775518534407,0.8779325006290644,0.9431541824643151
